trait1	trait2	n_species_overlap	phi	p_value
arsenate detoxification	acetate oxidation	64		
arsenate detoxification	lactate oxidation	47		
arsenate detoxification	chemoheterotrophy	137		
arsenate detoxification	alginate degradation	5		
arsenate detoxification	pectin degradation	4		
arsenate detoxification	collagen degradation	0		
arsenate detoxification	anaerobic chemoheterotrophy	126		
arsenate detoxification	obligate anaerobes	150		
arsenate detoxification	facultative anaerobes	147		
arsenate detoxification	sulfur reduction	46		
arsenate respiration	arsenite oxidation detoxification	53		
arsenate respiration	arsenite oxidation energy yielding	118		
arsenate respiration	dissimilatory arsenite oxidation	12		
arsenate respiration	anammox	2971		
arsenate respiration	nitrate denitrification	3404		
arsenate respiration	nitrite denitrification	3388		
arsenate respiration	nitrous oxide denitrification	3056		
arsenate respiration	chitinolysis	661		
arsenate respiration	knallgas bacteria	208		
arsenate respiration	nitrogen fixation	183		
arsenate respiration	nitrate ammonification	3002		
arsenate respiration	nitrite ammonification	3008		
arsenate respiration	gelatin degradation	2531		
arsenate respiration	cellulolysis	759		
arsenate respiration	xylanolysis	314		
arsenate respiration	dark sulfide oxidation	68		
arsenate respiration	dark sulfur oxidation	183		
arsenate respiration	dark thiosulfate oxidation	210		
arsenate respiration	dark oxidation of sulfur compounds	111		
arsenate respiration	manganese oxidation	117		
arsenate respiration	manganese respiration	3358		
arsenate respiration	ligninolysis	27		
arsenate respiration	lactic acid fermentation	2838		
arsenate respiration	alcohol fermentation	2810		
arsenate respiration	aerobic chemoheterotrophy	2698		
arsenate respiration	invertebrate parasites	9		
arsenate respiration	human pathogens septicemia	4		
arsenate respiration	human pathogens pneumonia	6		
arsenate respiration	human pathogens nosocomia	7		
arsenate respiration	human pathogens meningitis	3		
arsenate respiration	human pathogens gastroenteritis	0		
arsenate respiration	human pathogens diarrhea	2		
arsenate respiration	human pathogens all	56		
arsenate respiration	fish parasites	9		
arsenate respiration	human gut	26		
arsenate respiration	human associated	138		
arsenate respiration	mammal gut	42		
arsenate respiration	animal parasites or symbionts	105		
arsenate respiration	plant pathogen	83		
arsenate respiration	oil bioremediation	44		
arsenate respiration	aromatic hydrocarbon degradation	181		
arsenate respiration	aromatic compound degradation	459		
arsenate respiration	aliphatic non methane hydrocarbon degradation	130		
arsenate respiration	hydrocarbon degradation	220		
arsenate respiration	dark iron oxidation	38		
arsenate respiration	iron oxidation	29		
arsenate respiration	fumarate respiration	3399		
arsenate respiration	intracellular parasites	2		
arsenate respiration	chlorate reducers	4		
arsenate respiration	predatory or exoparasitic	9		
arsenate respiration	anoxygenic photoautotrophy H2 oxidizing	770		
arsenate respiration	anoxygenic photoautotrophy S oxidizing	787		
arsenate respiration	anoxygenic photoautotrophy Fe oxidizing	756		
arsenate respiration	anoxygenic photoautotrophy	787		
arsenate respiration	oxygenic photoautotrophy	3472		
arsenate respiration	photoautotrophy	807		
arsenate respiration	aerobic anoxygenic phototrophy	860		
arsenate respiration	photoheterotrophy	757		
arsenate respiration	phototrophy	774		
arsenate respiration	plastic degradation	67		
arsenate respiration	ureolysis	2084		
arsenate respiration	reductive acetogenesis	307		
arsenate respiration	alginate degradation	213		
arsenate respiration	pectin degradation	219		
arsenate respiration	collagen degradation	76		
arsenate respiration	facultative anaerobes	3269		
dissimilatory arsenate reduction	arsenite oxidation detoxification	51		
dissimilatory arsenate reduction	arsenite oxidation energy yielding	3		
dissimilatory arsenate reduction	dissimilatory arsenite oxidation	1		
dissimilatory arsenate reduction	anammox	11		
dissimilatory arsenate reduction	nitrate denitrification	34		
dissimilatory arsenate reduction	nitrite denitrification	19		
dissimilatory arsenate reduction	nitrous oxide denitrification	9		
dissimilatory arsenate reduction	chitinolysis	2		
dissimilatory arsenate reduction	knallgas bacteria	65		
dissimilatory arsenate reduction	dark hydrogen oxidation	34		
dissimilatory arsenate reduction	nitrogen fixation	5		
dissimilatory arsenate reduction	nitrate ammonification	18		
dissimilatory arsenate reduction	nitrite ammonification	18		
dissimilatory arsenate reduction	nitrite respiration	29		
dissimilatory arsenate reduction	gelatin degradation	15		
dissimilatory arsenate reduction	cellulolysis	4		
dissimilatory arsenate reduction	xylanolysis	4		
dissimilatory arsenate reduction	dark sulfide oxidation	16		
dissimilatory arsenate reduction	dark sulfur oxidation	18		
dissimilatory arsenate reduction	dark thiosulfate oxidation	18		
dissimilatory arsenate reduction	dark oxidation of sulfur compounds	17		
dissimilatory arsenate reduction	manganese oxidation	2		
dissimilatory arsenate reduction	manganese respiration	19		
dissimilatory arsenate reduction	ligninolysis	0		
dissimilatory arsenate reduction	lactic acid fermentation	21		
dissimilatory arsenate reduction	alcohol fermentation	22		
dissimilatory arsenate reduction	aerobic chemoheterotrophy	80		
dissimilatory arsenate reduction	invertebrate parasites	0		
dissimilatory arsenate reduction	human pathogens septicemia	0		
dissimilatory arsenate reduction	human pathogens pneumonia	0		
dissimilatory arsenate reduction	human pathogens nosocomia	0		
dissimilatory arsenate reduction	human pathogens meningitis	0		
dissimilatory arsenate reduction	human pathogens gastroenteritis	0		
dissimilatory arsenate reduction	human pathogens diarrhea	0		
dissimilatory arsenate reduction	human pathogens all	0		
dissimilatory arsenate reduction	fish parasites	0		
dissimilatory arsenate reduction	human gut	0		
dissimilatory arsenate reduction	human associated	1		
dissimilatory arsenate reduction	mammal gut	1		
dissimilatory arsenate reduction	animal parasites or symbionts	1		
dissimilatory arsenate reduction	plant pathogen	0		
dissimilatory arsenate reduction	oil bioremediation	1		
dissimilatory arsenate reduction	aromatic hydrocarbon degradation	0		
dissimilatory arsenate reduction	aromatic compound degradation	1		
dissimilatory arsenate reduction	aliphatic non methane hydrocarbon degradation	0		
dissimilatory arsenate reduction	hydrocarbon degradation	0		
dissimilatory arsenate reduction	dark iron oxidation	15		
dissimilatory arsenate reduction	iron oxidation	2		
dissimilatory arsenate reduction	iron respiration	31		
dissimilatory arsenate reduction	fumarate respiration	31		
dissimilatory arsenate reduction	intracellular parasites	0		
dissimilatory arsenate reduction	chlorate reducers	4		
dissimilatory arsenate reduction	predatory or exoparasitic	1		
dissimilatory arsenate reduction	anoxygenic photoautotrophy H2 oxidizing	36		
dissimilatory arsenate reduction	anoxygenic photoautotrophy S oxidizing	42		
dissimilatory arsenate reduction	anoxygenic photoautotrophy Fe oxidizing	29		
dissimilatory arsenate reduction	anoxygenic photoautotrophy	42		
dissimilatory arsenate reduction	oxygenic photoautotrophy	86		
dissimilatory arsenate reduction	photoautotrophy	43		
dissimilatory arsenate reduction	aerobic anoxygenic phototrophy	69		
dissimilatory arsenate reduction	photoheterotrophy	25		
dissimilatory arsenate reduction	phototrophy	37		
dissimilatory arsenate reduction	plastic degradation	1		
dissimilatory arsenate reduction	ureolysis	14		
dissimilatory arsenate reduction	reductive acetogenesis	4		
dissimilatory arsenate reduction	acetate oxidation	45		
dissimilatory arsenate reduction	alginate degradation	1		
dissimilatory arsenate reduction	pectin degradation	3		
dissimilatory arsenate reduction	collagen degradation	0		
dissimilatory arsenate reduction	facultative anaerobes	79		
arsenite oxidation detoxification	arsenite oxidation energy yielding	41		
arsenite oxidation detoxification	dissimilatory arsenite oxidation	47		
arsenite oxidation detoxification	anammox	5		
arsenite oxidation detoxification	nitrate denitrification	33		
arsenite oxidation detoxification	nitrite denitrification	9		
arsenite oxidation detoxification	nitrous oxide denitrification	3		
arsenite oxidation detoxification	chitinolysis	0		
arsenite oxidation detoxification	knallgas bacteria	50		
arsenite oxidation detoxification	dark hydrogen oxidation	63		
arsenite oxidation detoxification	nitrogen fixation	1		
arsenite oxidation detoxification	nitrate ammonification	7		
arsenite oxidation detoxification	nitrite ammonification	6		
arsenite oxidation detoxification	nitrite respiration	13		
arsenite oxidation detoxification	gelatin degradation	24		
arsenite oxidation detoxification	cellulolysis	1		
arsenite oxidation detoxification	xylanolysis	6		
arsenite oxidation detoxification	dark sulfide oxidation	54		
arsenite oxidation detoxification	dark sulfur oxidation	56		
arsenite oxidation detoxification	dark thiosulfate oxidation	56		
arsenite oxidation detoxification	dark oxidation of sulfur compounds	55		
arsenite oxidation detoxification	manganese oxidation	40		
arsenite oxidation detoxification	manganese respiration	6		
arsenite oxidation detoxification	ligninolysis	0		
arsenite oxidation detoxification	fermentation	67		
arsenite oxidation detoxification	lactic acid fermentation	42		
arsenite oxidation detoxification	alcohol fermentation	16		
arsenite oxidation detoxification	aerobic chemoheterotrophy	57		
arsenite oxidation detoxification	invertebrate parasites	0		
arsenite oxidation detoxification	human pathogens septicemia	0		
arsenite oxidation detoxification	human pathogens pneumonia	0		
arsenite oxidation detoxification	human pathogens nosocomia	0		
arsenite oxidation detoxification	human pathogens meningitis	0		
arsenite oxidation detoxification	human pathogens gastroenteritis	0		
arsenite oxidation detoxification	human pathogens diarrhea	0		
arsenite oxidation detoxification	human pathogens all	2		
arsenite oxidation detoxification	fish parasites	0		
arsenite oxidation detoxification	human gut	3		
arsenite oxidation detoxification	human associated	9		
arsenite oxidation detoxification	mammal gut	5		
arsenite oxidation detoxification	animal parasites or symbionts	8		
arsenite oxidation detoxification	plant pathogen	0		
arsenite oxidation detoxification	oil bioremediation	2		
arsenite oxidation detoxification	aromatic hydrocarbon degradation	2		
arsenite oxidation detoxification	aromatic compound degradation	3		
arsenite oxidation detoxification	aliphatic non methane hydrocarbon degradation	0		
arsenite oxidation detoxification	hydrocarbon degradation	2		
arsenite oxidation detoxification	dark iron oxidation	52		
arsenite oxidation detoxification	iron oxidation	39		
arsenite oxidation detoxification	iron respiration	13		
arsenite oxidation detoxification	nitrate respiration	38		
arsenite oxidation detoxification	nitrate reduction	38		
arsenite oxidation detoxification	nitrogen respiration	13		
arsenite oxidation detoxification	fumarate respiration	14		
arsenite oxidation detoxification	intracellular parasites	0		
arsenite oxidation detoxification	chlorate reducers	0		
arsenite oxidation detoxification	predatory or exoparasitic	1		
arsenite oxidation detoxification	anoxygenic photoautotrophy H2 oxidizing	32		
arsenite oxidation detoxification	anoxygenic photoautotrophy S oxidizing	38		
arsenite oxidation detoxification	anoxygenic photoautotrophy Fe oxidizing	26		
arsenite oxidation detoxification	anoxygenic photoautotrophy	38		
arsenite oxidation detoxification	oxygenic photoautotrophy	98		
arsenite oxidation detoxification	photoautotrophy	38		
arsenite oxidation detoxification	aerobic anoxygenic phototrophy	53		
arsenite oxidation detoxification	photoheterotrophy	21		
arsenite oxidation detoxification	phototrophy	33		
arsenite oxidation detoxification	plastic degradation	2		
arsenite oxidation detoxification	ureolysis	14		
arsenite oxidation detoxification	reductive acetogenesis	0		
arsenite oxidation detoxification	acetate oxidation	69		
arsenite oxidation detoxification	lactate oxidation	41		
arsenite oxidation detoxification	chemoheterotrophy	76		
arsenite oxidation detoxification	alginate degradation	0		
arsenite oxidation detoxification	pectin degradation	3		
arsenite oxidation detoxification	collagen degradation	0		
arsenite oxidation detoxification	anaerobic chemoheterotrophy	35		
arsenite oxidation detoxification	obligate anaerobes	80		
arsenite oxidation detoxification	facultative anaerobes	76		
arsenite oxidation detoxification	sulfur reduction	39		
arsenite oxidation energy yielding	dissimilatory arsenite oxidation	60		
arsenite oxidation energy yielding	anammox	269		
arsenite oxidation energy yielding	nitrate denitrification	164		
arsenite oxidation energy yielding	nitrite denitrification	130		
arsenite oxidation energy yielding	nitrous oxide denitrification	108		
arsenite oxidation energy yielding	chitinolysis	39		
arsenite oxidation energy yielding	knallgas bacteria	45		
arsenite oxidation energy yielding	dark hydrogen oxidation	319		
arsenite oxidation energy yielding	nitrogen fixation	14		
arsenite oxidation energy yielding	nitrate ammonification	107		
arsenite oxidation energy yielding	nitrite ammonification	109		
arsenite oxidation energy yielding	nitrite respiration	136		
arsenite oxidation energy yielding	gelatin degradation	222		
